Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood,Type,City
120000000.0,0,0,0,3,3,3,Lekki Phase 1,Terraced Duplex,Lekki
250000000.0,0,1,0,6,6,6,Other Lekki,Detached Duplex,Lekki
100000000.0,0,0,0,5,5,6,Ikate,Semi Detached Duplex,Lekki
80000000.0,0,0,0,4,5,5,Other Lekki,Terraced Duplex,Lekki
105000000.0,0,0,0,5,6,6,Osapa London,Detached Duplex,Lekki
480000000.0,0,1,0,4,4,5,Banana Island,Detached Duplex,Ikoyi
115000000.0,0,0,0,4,4,5,Osapa London,Semi Detached Duplex,Lekki
72000000.0,0,0,0,4,4,5,Ikate,Terraced Duplex,Lekki
130000000.0,0,1,1,5,5,6,Chevron,Detached Duplex,Lekki
60000000.0,0,0,1,4,4,5,Ikota,Semi Detached Duplex,Lekki
48000000.0,1,1,0,4,4,5,Other Lekki,Terraced Duplex,Lekki
75000000.0,0,1,1,5,5,6,Chevron,Terraced Duplex,Lekki
180000000.0,0,0,0,4,4,5,Other Ikoyi,Semi Detached Duplex,Ikoyi
140000000.0,1,1,0,4,4,5,Chevron,Detached Duplex,Lekki
87000000.0,0,0,0,4,4,5,Chevron,Detached Duplex,Lekki
80000000.0,0,0,0,4,4,5,Agungi,Semi Detached Duplex,Lekki
45000000.0,0,1,0,3,4,4,Chevron,Terraced Duplex,Lekki
115000000.0,0,1,0,4,4,4,Ikate,Terraced Duplex,Lekki
75000000.0,0,0,0,5,5,6,Agungi,Detached Duplex,Lekki
145000000.0,1,1,0,4,5,5,Victoria Island Extension,Terraced Duplex,Victoria Island
180000000.0,0,0,0,5,5,6,Ikate,Detached Duplex,Lekki
90000000.0,1,1,0,4,5,5,Osapa London,Semi Detached Duplex,Lekki
120000000.0,0,1,0,5,5,6,Other Lekki,Semi Detached Duplex,Lekki
150000000.0,0,0,0,5,5,5,Oniru,Detached Duplex,Victoria Island
75000000.0,0,1,0,4,4,4,Ikota,Detached Duplex,Lekki
90000000.0,0,0,0,4,4,4,Other Lekki,Detached Duplex,Lekki
350000000.0,0,1,0,5,5,6,Osapa London,Detached Duplex,Lekki
95000000.0,0,0,0,4,4,5,Oniru,Detached Duplex,Victoria Island
450000000.0,0,0,0,6,6,7,Other Lekki,Detached Duplex,Lekki
80000000.0,0,0,0,5,6,5,Other Lekki,Detached Duplex,Lekki
230000000.0,0,1,1,5,5,6,GRA,Detached Duplex,Ikeja
100000000.0,0,0,1,4,5,4,Ikate,Terraced Duplex,Lekki
55000000.0,0,1,0,4,6,6,Lekki Phase 2,Semi Detached Duplex,Lekki
70000000.0,0,0,0,4,3,4,Awolowo Way,Semi Detached Duplex,Ikeja
180000000.0,1,1,0,5,5,6,Ikota,Detached Duplex,Lekki
35000000.0,0,0,0,3,3,4,Other Lekki,Detached Duplex,Lekki
75000000.0,0,0,0,4,4,5,Ologolo,Semi Detached Duplex,Lekki
180000000.0,0,0,0,5,6,6,Osapa London,Detached Duplex,Lekki
95000000.0,1,1,0,4,4,5,Ikate,Terraced Duplex,Lekki
98000000.0,0,0,0,5,5,6,Osapa London,Detached Duplex,Lekki
95000000.0,1,1,0,4,5,5,Other Lekki,Semi Detached Duplex,Lekki
36000000.0,0,0,0,3,4,4,Other Lekki,Terraced Duplex,Lekki
67000000.0,1,0,0,4,4,5,Ikota,Semi Detached Duplex,Lekki
65000000.0,0,0,0,5,5,6,Lekki Phase 1,Detached Duplex,Lekki
88000000.0,0,0,0,5,5,6,Lekki Phase 2,Detached Duplex,Lekki
100000000.0,0,1,1,4,6,6,Ikate,Terraced Duplex,Lekki
210000000.0,0,0,0,4,4,4,Oniru,Detached Duplex,Victoria Island
58000000.0,1,0,0,4,4,4,Ikota,Terraced Duplex,Lekki
120000000.0,0,0,0,5,5,6,Victoria Island Extension,Detached Duplex,Victoria Island
200000000.0,1,1,1,4,4,5,Osapa London,Detached Duplex,Lekki
110000000.0,0,1,0,4,4,5,Agungi,Semi Detached Duplex,Lekki
95000000.0,0,0,0,5,5,5,Osapa London,Semi Detached Duplex,Lekki
130000000.0,1,1,0,4,4,5,Other Victoria Island,Detached Duplex,Victoria Island
97000000.0,0,0,0,5,5,6,Chevron,Detached Duplex,Lekki
110000000.0,0,0,0,5,5,6,GRA,Detached Duplex,Ikeja
80000000.0,0,1,0,5,7,7,Chevron,Detached Duplex,Lekki
82000000.0,0,0,0,4,4,5,Agungi,Semi Detached Duplex,Lekki
70000000.0,0,1,0,5,5,6,Agungi,Semi Detached Duplex,Lekki
37000000.0,0,0,0,4,4,5,Agungi,Terraced Duplex,Lekki
160000000.0,0,0,0,5,6,6,Lekki Phase 1,Detached Duplex,Lekki
50000000.0,1,1,0,4,4,5,Other Lekki,Semi Detached Duplex,Lekki
32500000.0,0,0,0,3,0,0,Other Lekki,Detached Duplex,Lekki
66000000.0,0,1,0,4,5,5,Chevron,Semi Detached Duplex,Lekki
270000000.0,0,1,1,5,5,6,Onikoyi,Detached Duplex,Ikoyi
80000000.0,0,0,0,5,4,5,Ikota,Detached Duplex,Lekki
