Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood_Lekki Phase 1,Neighborhood_Lekki Phase 2,Neighborhood_Ikate,Neighborhood_Ikota,Neighborhood_Agungi,Neighborhood_Osapa London,Neighborhood_Opebi,Neighborhood_Other Lekki,Neighborhood_Ologolo,Neighborhood_GRA,Neighborhood_Victoria Garden City,Neighborhood_Other Ikeja,Neighborhood_Chevron,Neighborhood_Adeniyi Jones,Neighborhood_Other Ikoyi,Neighborhood_Victoria Island Extension,Neighborhood_Parkview,Neighborhood_Onikoyi,Neighborhood_Banana Island,Neighborhood_Other Victoria Island,Neighborhood_Alausa,Neighborhood_Oniru,Neighborhood_Omole,Neighborhood_Old Ikoyi,Neighborhood_Allen Avenue,Neighborhood_Foreshore,Neighborhood_Oregun,Neighborhood_Maryland,Neighborhood_Airport Road,Neighborhood_Waziri Adeola Odeku,Neighborhood_Awolowo Way,Neighborhood_Agidingbi,Type_Semi Detached Duplex,Type_Detached Duplex,Type_Terraced Duplex,City_Lekki,City_Ikeja,City_Ikoyi,City_Victoria Island,Price
0,0,0,-0.48353328306126325,-0.5680384132405051,-1.0453168660772483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,42000000.0
0,0,0,-0.48353328306126325,-0.5680384132405051,-1.0453168660772483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47000000.0
0,0,0,0.7656808071031396,-2.449226322734695,0.7318377534712444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,70000000.0
1,1,1,-0.48353328306126325,1.3131494962536847,0.7318377534712444,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,37000000.0
0,1,0,0.7656808071031396,-0.5680384132405051,-0.1567395563030019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,75000000.0
0,1,1,-0.48353328306126325,0.3725555415065898,-0.1567395563030019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,70000000.0
0,0,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,350000000.0
0,1,1,0.7656808071031396,0.3725555415065898,0.7318377534712444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,400000000.0
0,0,0,-0.48353328306126325,-0.5680384132405051,-1.0453168660772483,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,200000000.0
0,1,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,90000000.0
0,1,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,62000000.0
0,0,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,232000000.0
0,0,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,57000000.0
0,1,0,-0.48353328306126325,-0.5680384132405051,0.7318377534712444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,85000000.0
0,1,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,90000000.0
0,1,0,-1.732747373225666,-1.5086323679876,-1.0453168660772483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,50000000.0
0,1,1,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,60000000.0
0,1,0,-0.48353328306126325,0.3725555415065898,-0.1567395563030019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,98000000.0
0,0,0,0.7656808071031396,0.3725555415065898,0.7318377534712444,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,240000000.0
0,0,0,-0.48353328306126325,-0.5680384132405051,-1.0453168660772483,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,45000000.0
0,1,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,59500000.0
0,1,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,60000000.0
0,1,0,-0.48353328306126325,1.3131494962536847,1.6204150632454908,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,105000000.0
1,1,0,-0.48353328306126325,-0.5680384132405051,-1.0453168660772483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,150000000.0
0,0,0,-0.48353328306126325,-0.5680384132405051,-1.0453168660772483,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,37000000.0
1,1,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,52000000.0
1,1,0,-1.732747373225666,-4.330414232228884,-4.5996261051742335,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,33000000.0
0,0,0,-0.48353328306126325,-0.5680384132405051,-0.1567395563030019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,60000000.0
