Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
Newly Built 5 Bedroom Fully Detached Duplex,"Oniru Estate Victoria Island, Awolowo Road Ikoyi Lagos",₦,"250,000,000",1,1,1,5 beds,6 baths,6 Toilets
"Luxury 5 Bedroom Terrace With Private Elevator, Cinema And Spa",Banana Island Estate Banana Island Ikoyi Lagos,$,"2,000,000",1,1,0,5 beds,7 baths,7 Toilets
Luxury 5 Bedroom Triplex Penthouse With Private Pool & Spa,Banana Island Estate Banana Island Ikoyi Lagos,$,"4,000,000",1,1,0,5 beds,8 baths,8 Toilets
5 Bedroom Detached Duplex With 2 Staff Quarters And Two Sets Of Kitchen,Off Cameron Road Ikoyi Lagos,₦,"850,000,000",0,0,0,5 beds,8 baths,9 Toilets
Land Size: 1800 Sqm + Waterfront Dry Bareland,"Zone Q, Banana Island, Ikoyi Lagos. Banana Island Ikoyi Lagos",₦,"1,200,000/sqm",0,0,0,0 beds,0 baths,0 Toilets
Luxury 3 Bedroom Apartment With 2 Maid's Room,Vantage Bourdillon Bourdillon Ikoyi Lagos,₦,"370,000,000",1,0,0,3 beds,3 baths,4 Toilets
Luxury 3 Bedroom Apartment With 2 Maid's Room,Vantage Bourdillon Bourdillon Ikoyi Lagos,₦,"350,000,000",1,0,0,3 beds,3 baths,4 Toilets
Luxury Serviced 3bedroom Terrace Duplex,Falomo Ikoyi Lagos,₦,"135,000,000",1,1,0,3 beds,3 baths,4 Toilets
12 Units Of 3 Bedroom Flat With 1 Room Bq Each,"Parkview Estate, Ikoyi, Lagos. Parkview Estate Ikoyi Lagos",₦,"95,000,000,000",0,0,0,3 beds,0 baths,0 Toilets
4 Bedroom Fully Detached House + 1 Room Bq,Off Awolowo Road Ikoyi Lagos,₦,"250,000,000",0,0,0,0 beds,0 baths,0 Toilets
Newly Built 5 Bedroom Fully Detached House,Banana Island Estate Banana Island Ikoyi Lagos,₦,"1,700,000,000",0,1,0,5 beds,5 baths,6 Toilets
New 4 Bedroom Terrace House+ Bq,Banana Island Ikoyi Lagos,₦,"670,000,000",1,1,0,4 beds,4 baths,4 Toilets
Premium 3 Bedroom Apartment + Bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,₦,"250,000,000",1,0,0,3 beds,3 baths,4 Toilets
Luxury Waterfront 5 Bedroom House,Ikoyi Lagos,₦,"600,000,000",0,0,0,0 beds,0 baths,0 Toilets
Newly Built 5 Bedroom Fully Detached House +bq,Old Ikoyi Old Ikoyi Ikoyi Lagos,₦,"950,000,000",0,0,0,5 beds,5 baths,6 Toilets
