Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
Luxury 3 Bedroom Apartment With Excellent Finishing,Off Ligali Ayorinde Victoria Island Lagos,₦,"125,000,000",1,1,0,3 beds,3 baths,4 Toilets
Ultra Luxury 3 Bedroom Apartment,Victoria Island Victoria Island Extension Victoria Island Lagos,₦,"180,000,000",1,1,0,3 beds,4 baths,4 Toilets
Luxury 2 Bedrooms Apartment With Bq,Victoria Island Victoria Island Extension Victoria Island Lagos,₦,"120,000,000",1,1,0,2 beds,4 baths,3 Toilets
Brand New Specious Luxury 6 Bedroom Fully Detached Duplex With Bq And Swimming Pool For Sale,Victoria Island Adeola Odeku Victoria Island Lagos,₦,"590,000,000",0,1,0,6 beds,6 baths,7 Toilets
Exquisite 3bedroom Apartment,Oniru Victoria Island Lagos,₦,"150,000,000",0,1,0,3 beds,3 baths,4 Toilets
2 Bedroom Apartment,Cluster D1 1004 Victoria Island Lagos,₦,"95,000,000",1,0,0,2 beds,1 baths,2 Toilets
Luxury One Bedroom Hotel Styled Apartment,The Knight's Place Ahmadu Bello Way Victoria Island Lagos,₦,"80,000,000",0,0,0,1 beds,1 baths,0 Toilets
Luxury 2 Bedroom Apartment,"The Knight's Place, Ahmadu Bello Way Ahmadu Bello Way Victoria Island Lagos",₦,"160,000,000",1,0,0,2 beds,2 baths,3 Toilets
Luxury 2 Bedroom Apartment,"The Knight's Place, Ahmadu Bello Way Victoria Island Lagos",₦,"160,000,000",1,0,0,2 beds,2 baths,3 Toilets
Well Finished Open Plan Space,Idowu Taylor Victoria Island Lagos,₦,"220,000,000",0,0,0,0 beds,0 baths,0 Toilets
Office Block On 2 Floors,Saka Tinubu Victoria Island Lagos,₦,"500,000,000",0,0,0, beds, baths, Toilets
"4units Of Newly Built & Tastefully Finished Luxury 5bedroom Fully Detached Duplex + A Room Bq,gym Center & Cinema House For Sale!!!",Oniru Victoria Island Lagos,₦,"280,000,000",1,1,0,5 beds,5 baths,5 Toilets
Brand New 2 Bedroom Pent House Apartment With Bq,Victoria Island Lagos,₦,"170,000,000",1,1,0,2 beds,3 baths,3 Toilets
5 Bedroom Semi Detached House,Oniru Victoria Island Lagos,₦,"250,000,000",1,1,0,5 beds,6 baths,6 Toilets
"Luxurious 2 Units Of 4 Bedroom Penthouses With A Room Bq Each. , Swimming Pool, Gym",Victoria Island Lagos,₦,"190,000,000",1,1,0,4 beds,5 baths,5 Toilets
2 Bedroom Penthouse,Akin Adesola Victoria Island Lagos,₦,"160,000,000",1,1,0,2 beds,3 baths,3 Toilets
Strategic Waterfront Bare Land,Ozumba Mbadiwe Victoria Island Lagos,₦,"7,000,000,000",0,0,0, beds, baths, Toilets
3 Bedroom Apartment,Victoria Island Lagos,₦,"120,000,000",1,1,0,3 beds,4 baths,4 Toilets
3 Bedroom Flat,Victoria Island Extension Victoria Island Lagos,₦,"95,000,000",1,1,0,3 beds,4 baths,4 Toilets
3bedroom Apartment,Victoria Island Lagos,₦,"185,000,000",1,1,0,3 beds,4 baths,4 Toilets
6 Units Of Affordable Duplex,Victoria Island Lagos,₦,"200,000,000",1,1,0,3 beds,4 baths,4 Toilets
"Luxurious 8 Units Of 3 Bedroom Flat With Bq, Swimming Pool, Gym",Victoria Island Lagos,₦,"170,000,000",1,1,0,3 beds,4 baths,4 Toilets
Newly Built 3 Bedroom Terraces With Bq,Waziri Adeola Odeku Victoria Island Lagos,₦,"200,000,000",1,1,0,3 beds,3 baths,4 Toilets
The Deal: Full Service Contemporary Duplex,Oniru Victoria Island Lagos,₦,"170,000,000",1,1,0,4 beds,5 baths,5 Toilets
Brand New 3 Bedroom Apartment With Bq,Adeola Odeku Victoria Island Lagos,₦,"165,000,000",1,1,0,3 beds,3 baths,4 Toilets
3 Bedroom Apartment With Bq, Victoria Island Lagos,₦,"110,000,000",1,1,0,3 beds,4 baths,4 Toilets
4 Bedroom Maisonette,Victoria Island Lagos,₦,"200,000,000",1,1,0,4 beds,5 baths,5 Toilets
3 Bedrooms Fully Serviced Apartments With 24 Hrs Electricity Available For Sale(good For Shortlets,Victoria Island Lagos,₦,"135,000,000",1,1,0,3 beds,4 baths,4 Toilets
2 Floor Full Service Terrace,Victoria Island Lagos,₦,"150,000,000",1,1,0,4 beds,5 baths,4 Toilets
Purpose Built Office Block On 5 Floors,Adeola Odeku Victoria Island Lagos,₦,"1,500,000,000",0,0,0, beds, baths, Toilets
This Lovely 3 Bedroom Apartment,Victoria Island Lagos,₦,"150,000,000",0,1,0,3 beds,3 baths,4 Toilets
"Exquisitely Finished Luxury 5 Bedroom Detached Duplex For Sale At Oniru, Vi.",Oniru Victoria Island Lagos,₦,"300,000,000",0,1,0,5 beds,6 baths,6 Toilets
Stellar 3 Bedroom Terrace Duplex, Victoria Island Lagos,₦,"120,000,000",1,1,0,3 beds,4 baths,4 Toilets
Fully Detached And Fully Serviced Contemporary Duplex,Oniru Victoria Island Lagos,₦,"170,000,000",1,1,0,4 beds,5 baths,5 Toilets
Exclusively Built Brand New 6 Bedroom With A Pent Floor,Akin Ogunlewe Ligali Ayorinde Victoria Island Lagos,₦,"550,005,000",0,1,0,6 beds,6 baths,7 Toilets
4 Units Of Three (3) Bedroom Luxury Terrace Duplexes.,"Kayla's Haven Terraces, Off Ozumba Mbadiwe (oba Yesufu Abiodun Road) Oniru Victoria Island Lagos",₦,"140,000,000",1,1,0,3 beds,4 baths,4 Toilets
Purpose Built Office Block On 2 Floors At The Corner Of Amodu Ojikutu Street.,Amodu Ojikutu Street Saka Tinubu Victoria Island Lagos,₦,"700,000,000",0,0,0, beds, baths, Toilets
Luxury & Executive Four Bedroom Apartment,Victoria Island Lagos,₦,"350,000,000",1,1,0,4 beds,5 baths,5 Toilets
3 Bedroom Apartment With Bq,Oniru Victoria Island Lagos,₦,"190,000,000",1,1,0,3 beds,4 baths,4 Toilets
4 Bedroom Detached House With Bq,Dideolu Etate Oniru Victoria Island Lagos,₦,"180,000,000",0,0,0,4 beds,4 baths,5 Toilets
Luxurious 3 Bedroom Flat,Victoria Island Lagos,₦,"130,000,000",1,1,0,3 beds,4 baths,0 Toilets
One Of Its Kind. An Elegant 5 Bedroom Fully Detached Duplex In A Top Private Estate In Oniru,Oniru Victoria Island Lagos,₦,"300,000,000",0,1,0,5 beds,6 baths,6 Toilets
5 Bedroom Detached Duplex With Bq,Oniru Victoria Island Lagos,₦,"270,000,000",0,0,0, beds, baths, Toilets
Newly Built 3bedrooms Terrace Duplex,Victoria Island Lagos,₦,"190,000,000",1,1,0,3 beds,4 baths,4 Toilets
Luxury 3 Bedroom Apartment With Service Quarter,"Water Corporation Drive, Off Ligali Ayorinde, Oniru, Victoria Island Extension Victoria Island Lagos",₦,"87,000,000",1,0,0,3 beds,3 baths,4 Toilets
Fully Serviced 4 Bedroom Terrace Duplex,Victoria Island Lagos,₦,"300,000,000",0,1,0,4 beds,4 baths,5 Toilets
Ultra Modern 3 Bedroom Apartment + Bq,Eko Pearl Eko Atlantic Victoria Island Lagos,$,"875,000",1,0,0,3 beds,3 baths,4 Toilets
Almost Completed Luxury 3 Bedroom Apartment With A Maid's Room,"Water Corporation Drive, Oniru, Victoria Island Victoria Island Extension Victoria Island Lagos",₦,"95,000,000",1,0,0,3 beds,3 baths,4 Toilets
